f_hz,distance_m,input_w,tx_radius_m,rx_radius_m,tx_wire_mm2,rx_wire_mm2,tx_copper_kg,rx_copper_kg,mutual_h,coupling_figure_x,load_ohm,tx_current_rms_a,rx_current_rms_a,rx_induced_emf_at_loaded_tx_current_rms_v,rx_open_circuit_at_fixed_input_rms_v,load_w,coil_efficiency,tx_heat_w,rx_heat_w,energy_balance_error_w,rx_field_rms_t,tx_radiation_resistance_ohm,tx_radiated_w,tx_q,required_r_each_for_50pct_ohm,ka_tx,kr
1,1000,100,10,1,100,100,56.29734035232908,5.629734035232908,9.869604401089359e-14,3.2773661799974973e-20,0.001083221146957761,96.08186737022191,2.750261081966433e-08,5.958281927281944e-11,5.958281927281944e-11,8.193415449993742e-19,8.193415449993743e-21,100.0,8.193415449993742e-19,-8.193415449993742e-19,3.0185008867347806e-12,3.8086091177776185e-25,3.516003291178483e-21,0.05510223596483107,2.1924748499986315e-13,2.0958450219516817e-07,2.0958450219516817e-05
1,3000,100,10,1,100,100,56.29734035232908,5.629734035232908,3.655409037440504e-15,4.495701207129626e-23,0.001083221146957761,96.08186737022191,1.0186152155431235e-09,2.206771084178498e-12,2.206771084178498e-12,1.1239253017824066e-21,1.1239253017824065e-23,100.0,1.1239253017824066e-21,-1.1239253017824066e-21,1.1179632913832522e-13,3.8086091177776185e-25,3.516003291178483e-21,0.05510223596483107,8.120277222217155e-15,2.0958450219516817e-07,6.287535065855045e-05
1,10000,100,10,1,100,100,56.29734035232908,5.629734035232908,9.86960440108936e-17,3.277366179997498e-26,0.001083221146957761,96.08186737022191,2.7502610819664332e-11,5.958281927281944e-14,5.958281927281944e-14,8.193415449993744e-25,8.193415449993745e-27,100.0,8.193415449993744e-25,-8.193415449993744e-25,3.0185008867347807e-15,3.8086091177776185e-25,3.516003291178483e-21,0.05510223596483107,2.1924748499986318e-16,2.0958450219516817e-07,0.00020958450219516817
1,30000,100,10,1,100,100,56.29734035232908,5.629734035232908,3.6554090374405034e-18,4.495701207129625e-29,0.001083221146957761,96.08186737022191,1.0186152155431234e-12,2.2067710841784976e-15,2.2067710841784976e-15,1.1239253017824062e-27,1.1239253017824063e-29,100.0,1.1239253017824062e-27,-1.1239253017824062e-27,1.117963291383252e-16,3.8086091177776185e-25,3.516003291178483e-21,0.05510223596483107,8.120277222217153e-18,2.0958450219516817e-07,0.0006287535065855046
1,100000,100,10,1,100,100,56.29734035232908,5.629734035232908,9.869604401089359e-20,3.277366179997497e-32,0.001083221146957761,96.08186737022191,2.7502610819664333e-14,5.958281927281945e-17,5.958281927281945e-17,8.193415449993744e-31,8.193415449993743e-33,100.0,8.193415449993744e-31,-8.193415449993744e-31,3.018500886734781e-18,3.8086091177776185e-25,3.516003291178483e-21,0.05510223596483107,2.1924748499986316e-19,2.0958450219516817e-07,0.0020958450219516816
1,1000,100,10,10,0.5,0.5,0.2814867017616454,0.2814867017616454,9.86960440108936e-12,8.193415449993745e-22,2.1664422939155217,6.79401399665504,9.723641305459583e-11,4.2131415550023155e-10,4.2131415550023155e-10,2.0483538624984363e-20,2.0483538624984362e-22,100.0,2.0483538624984363e-20,-2.0483538624984363e-20,2.1344024460277705e-13,3.8086091177776185e-25,1.7580016455892418e-23,0.0003720608023017339,2.1924748499986317e-11,2.0958450219516817e-07,2.0958450219516817e-05
1,3000,100,10,10,0.5,0.5,0.2814867017616454,0.2814867017616454,3.6554090374405037e-13,1.1239253017824066e-24,2.1664422939155217,6.79401399665504,3.601348631651697e-12,1.5604227981490058e-11,1.5604227981490058e-11,2.809813254456017e-23,2.8098132544560165e-25,100.0,2.809813254456017e-23,-2.809813254456017e-23,7.905194244547299e-15,3.8086091177776185e-25,1.7580016455892418e-23,0.0003720608023017339,8.120277222217154e-13,2.0958450219516817e-07,6.287535065855045e-05
1,10000,100,10,10,0.5,0.5,0.2814867017616454,0.2814867017616454,9.86960440108936e-15,8.193415449993745e-28,2.1664422939155217,6.79401399665504,9.723641305459582e-14,4.2131415550023153e-13,4.2131415550023153e-13,2.0483538624984364e-26,2.0483538624984363e-28,100.0,2.0483538624984364e-26,-2.0483538624984364e-26,2.1344024460277706e-16,3.8086091177776185e-25,1.7580016455892418e-23,0.0003720608023017339,2.1924748499986318e-14,2.0958450219516817e-07,0.00020958450219516817
1,30000,100,10,10,0.5,0.5,0.2814867017616454,0.2814867017616454,3.6554090374405037e-16,1.1239253017824064e-30,2.1664422939155217,6.79401399665504,3.601348631651697e-15,1.5604227981490054e-14,1.5604227981490054e-14,2.8098132544560164e-29,2.809813254456016e-31,100.0,2.8098132544560164e-29,-2.8098132544560164e-29,7.905194244547298e-18,3.8086091177776185e-25,1.7580016455892418e-23,0.0003720608023017339,8.120277222217154e-16,2.0958450219516817e-07,0.0006287535065855046
1,100000,100,10,10,0.5,0.5,0.2814867017616454,0.2814867017616454,9.86960440108936e-18,8.193415449993745e-34,2.1664422939155217,6.79401399665504,9.723641305459582e-17,4.2131415550023157e-16,4.2131415550023157e-16,2.0483538624984367e-32,2.0483538624984362e-34,100.0,2.0483538624984367e-32,-2.0483538624984367e-32,2.1344024460277705e-19,3.8086091177776185e-25,1.7580016455892418e-23,0.0003720608023017339,2.192474849998632e-17,2.0958450219516817e-07,0.0020958450219516816
1,1000,100,10,10,2.5,2.5,1.407433508808227,1.407433508808227,9.86960440108936e-12,2.0483538624984363e-20,0.43328845878310435,15.191877136605695,1.087136147391621e-09,9.420870915814346e-10,9.420870915814346e-10,5.12088465624609e-19,5.120884656246091e-21,100.0,5.12088465624609e-19,-5.12088465624609e-19,4.77266896065992e-13,3.8086091177776185e-25,8.790008227946208e-23,0.0017136625288488123,2.1924748499986317e-11,2.0958450219516817e-07,2.0958450219516817e-05
1,3000,100,10,10,2.5,2.5,1.407433508808227,1.407433508808227,3.6554090374405037e-13,2.809813254456017e-23,0.43328845878310435,15.191877136605695,4.0264301755245225e-11,3.489211450301609e-11,3.489211450301609e-11,7.024533136140041e-22,7.024533136140042e-24,100.0,7.024533136140041e-22,-7.024533136140041e-22,1.767655170614785e-14,3.8086091177776185e-25,8.790008227946208e-23,0.0017136625288488123,8.120277222217154e-13,2.0958450219516817e-07,6.287535065855045e-05
1,10000,100,10,10,2.5,2.5,1.407433508808227,1.407433508808227,9.86960440108936e-15,2.0483538624984364e-26,0.43328845878310435,15.191877136605695,1.0871361473916212e-12,9.420870915814346e-13,9.420870915814346e-13,5.120884656246091e-25,5.120884656246091e-27,100.0,5.120884656246091e-25,-5.120884656246091e-25,4.77266896065992e-16,3.8086091177776185e-25,8.790008227946208e-23,0.0017136625288488123,2.1924748499986318e-14,2.0958450219516817e-07,0.00020958450219516817
1,30000,100,10,10,2.5,2.5,1.407433508808227,1.407433508808227,3.6554090374405037e-16,2.8098132544560164e-29,0.43328845878310435,15.191877136605695,4.026430175524522e-14,3.489211450301609e-14,3.489211450301609e-14,7.02453313614004e-28,7.024533136140041e-30,100.0,7.02453313614004e-28,-7.02453313614004e-28,1.7676551706147848e-17,3.8086091177776185e-25,8.790008227946208e-23,0.0017136625288488123,8.120277222217154e-16,2.0958450219516817e-07,0.0006287535065855046
1,100000,100,10,10,2.5,2.5,1.407433508808227,1.407433508808227,9.86960440108936e-18,2.0483538624984364e-32,0.43328845878310435,15.191877136605695,1.087136147391621e-15,9.420870915814344e-16,9.420870915814344e-16,5.12088465624609e-31,5.120884656246091e-33,100.0,5.12088465624609e-31,-5.12088465624609e-31,4.77266896065992e-19,3.8086091177776185e-25,8.790008227946208e-23,0.0017136625288488123,2.192474849998632e-17,2.0958450219516817e-07,0.0020958450219516816
1,1000,100,10,10,10,10,5.629734035232908,5.629734035232908,9.86960440108936e-12,3.277366179997498e-19,0.10832211469577609,30.38375427321139,8.697089179132968e-09,1.884174183162869e-09,1.884174183162869e-09,8.193415449993744e-18,8.193415449993745e-20,100.0,8.193415449993744e-18,-8.193415449993744e-18,9.54533792131984e-13,3.8086091177776185e-25,3.516003291178483e-22,0.006349409723213439,2.1924748499986317e-11,2.0958450219516817e-07,2.0958450219516817e-05
