wavelength_m,distance_m,tx_diameter_m,rx_diameter_m,first_null_diameter_m,capture_fraction,tx_conversion_assumed,rx_conversion_assumed,ideal_end_to_end_efficiency,input_w_for_100w_load,quarter_rx_radius_angle_rad
1.064e-06,384400000,0.1,10,9979.639040000002,3.687473841257641e-06,0.4,0.5,7.374947682515282e-07,135594182.23004156,3.2518210197710716e-09
1.064e-06,384400000,0.3,1.5,3326.5463466666674,7.467145506580919e-07,0.4,0.5,1.493429101316184e-07,669599915.468825,4.877731529656608e-10
1.064e-06,384400000,0.3,10,3326.5463466666674,3.318677506293625e-05,0.4,0.5,6.6373550125872505e-06,15066242.473147426,3.2518210197710716e-09
1.064e-06,384400000,1,1.5,997.9639040000002,8.29679702072699e-06,0.4,0.5,1.659359404145398e-06,60264219.88520439,4.877731529656608e-10
1.064e-06,384400000,1,10,997.9639040000002,0.00036868008336279055,0.4,0.5,7.373601667255811e-05,1356189.342910578,3.2518210197710716e-09
1.064e-06,384400000,10,1.5,99.79639040000002,0.0008293390361779198,0.4,0.5,0.00016586780723558398,602889.7449519474,4.877731529656608e-10
1.064e-06,384400000,10,10,99.79639040000002,0.036201849950093484,0.4,0.5,0.007240369990018697,13811.44888145996,3.2518210197710716e-09
1.064e-06,384400000,100,1.5,9.979639040000002,0.0796046273847558,0.4,0.5,0.015920925476951158,6281.041899528438,4.877731529656608e-10
1.064e-06,384400000,100,10,9.979639040000002,0.837784888713602,0.4,0.5,0.1675569777427204,596.8119104747014,3.2518210197710716e-09
0.12236426857142857,10000,1,1.5,2985.688153142857,9.269426016773883e-07,0.6,0.7,3.8931589270450305e-07,256860821.44070494,1.875e-05
0.12236426857142857,10000,1,10,2985.688153142857,4.119661944421423e-05,0.6,0.7,1.7302580166569972e-05,5779484.853548509,0.000125
0.12236426857142857,10000,1,100,2985.688153142857,0.00411127035249159,0.6,0.7,0.0017267335480464676,57912.81469751633,0.00125
0.12236426857142857,10000,10,1.5,298.5688153142857,9.269000710681402e-05,0.6,0.7,3.8929802984861884e-05,2568726.07443931,1.875e-05
0.12236426857142857,10000,10,10,298.5688153142857,0.00411127035249159,0.6,0.7,0.0017267335480464676,57912.81469751633,0.000125
0.12236426857142857,10000,10,100,298.5688153142857,0.33615770701374764,0.6,0.7,0.14118623694577398,708.2843353804199,0.00125
0.12236426857142857,10000,100,1.5,29.85688153142857,0.009226579581119497,0.6,0.7,0.0038751634240701883,25805.36329870891,1.875e-05
0.12236426857142857,10000,100,10,29.85688153142857,0.33615770701374786,0.6,0.7,0.1411862369457741,708.2843353804193,0.000125
0.12236426857142857,10000,100,100,29.85688153142857,0.952041954315352,0.6,0.7,0.39985762081244774,250.08901867823786,0.00125
0.12236426857142857,100000,1,1.5,29856.88153142857,9.269430332431411e-09,0.6,0.7,3.8931607396211924e-09,25686070185.155025,1.875e-06
0.12236426857142857,100000,1,10,29856.88153142857,4.119745953867864e-07,0.6,0.7,1.730293300624503e-07,577936699.8872832,1.25e-05
0.12236426857142857,100000,1,100,29856.88153142857,4.119661944421418e-05,0.6,0.7,1.7302580166569955e-05,5779484.853548515,0.000125
0.12236426857142857,100000,10,1.5,2985.688153142857,9.269426016773878e-07,0.6,0.7,3.8931589270450284e-07,256860821.44070506,1.875e-06
0.12236426857142857,100000,10,10,2985.688153142857,4.119661944421418e-05,0.6,0.7,1.7302580166569955e-05,5779484.853548515,1.25e-05
0.12236426857142857,100000,10,100,2985.688153142857,0.00411127035249159,0.6,0.7,0.0017267335480464676,57912.81469751633,0.000125
0.12236426857142857,100000,100,1.5,298.5688153142857,9.269000710681399e-05,0.6,0.7,3.892980298486187e-05,2568726.074439311,1.875e-06
0.12236426857142857,100000,100,10,298.5688153142857,0.004111270352491588,0.6,0.7,0.001726733548046467,57912.814697516354,1.25e-05
0.12236426857142857,100000,100,100,298.5688153142857,0.33615770701374786,0.6,0.7,0.1411862369457741,708.2843353804193,0.000125
0.12236426857142857,1000000,1,1.5,298568.8153142857,9.269451230583473e-11,0.6,0.7,3.893169516845058e-11,2568601227542.691,1.875e-07
0.12236426857142857,1000000,1,10,298568.8153142857,4.119746965899931e-09,0.6,0.7,1.7302937256779709e-09,57793655791.48568,1.25e-06
0.12236426857142857,1000000,1,100,298568.8153142857,4.119745953867864e-07,0.6,0.7,1.730293300624503e-07,577936699.8872832,1.25e-05
0.12236426857142857,1000000,10,1.5,29856.881531428568,9.269430332431419e-09,0.6,0.7,3.893160739621196e-09,25686070185.155003,1.875e-07
0.12236426857142857,1000000,10,10,29856.881531428568,4.119745953867864e-07,0.6,0.7,1.730293300624503e-07,577936699.8872832,1.25e-06
0.12236426857142857,1000000,10,100,29856.881531428568,4.119661944421423e-05,0.6,0.7,1.7302580166569972e-05,5779484.853548509,1.25e-05
0.12236426857142857,1000000,100,1.5,2985.688153142857,9.269426016773878e-07,0.6,0.7,3.8931589270450284e-07,256860821.44070506,1.875e-07
0.12236426857142857,1000000,100,10,2985.688153142857,4.119661944421421e-05,0.6,0.7,1.7302580166569965e-05,5779484.853548512,1.25e-06
0.12236426857142857,1000000,100,100,2985.688153142857,0.00411127035249159,0.6,0.7,0.0017267335480464676,57912.81469751633,1.25e-05
0.05168835482758621,10000,1,1.5,1261.1958577931034,5.194882560968827e-06,0.6,0.7,2.1818506756069073e-06,45832650.74828452,1.875e-05
0.05168835482758621,10000,1,10,1261.1958577931034,0.0002308576170259249,0.6,0.7,9.696019915088844e-05,1031351.0169712115,0.000125
0.05168835482758621,10000,1,100,1261.1958577931034,0.022823591719477152,0.6,0.7,0.009585908522180402,10431.979375623552,0.00125
0.05168835482758621,10000,10,1.5,126.11958577931034,0.0005193546901955769,0.6,0.7,0.0002181289698821423,458444.3783603398,1.875e-05
0.05168835482758621,10000,10,10,126.11958577931034,0.022823591719477152,0.6,0.7,0.009585908522180402,10431.979375623552,0.000125
0.05168835482758621,10000,10,100,126.11958577931034,0.8202539243937297,0.6,0.7,0.3445066482453664,290.2701602692365,0.00125
0.05168835482758621,10000,100,1.5,12.611958577931034,0.050618908817417325,0.6,0.7,0.021259941703315275,4703.681759597958,1.875e-05
0.05168835482758621,10000,100,10,12.611958577931034,0.8202539243937299,0.6,0.7,0.34450664824536653,290.27016026923644,0.000125
0.05168835482758621,10000,100,100,12.611958577931034,0.9788865729217557,0.6,0.7,0.41113236062713737,243.23067113340568,0.00125
0.05168835482758621,100000,1,1.5,12611.958577931035,5.1948959534229676e-08,0.6,0.7,2.1818563004376462e-08,4583253259.160173,1.875e-06
0.05168835482758621,100000,1,10,12611.958577931035,2.308840025765784e-06,0.6,0.7,9.69712810821629e-07,103123315.36104065,1.25e-05
