profile,h_km,sigma_iono,n,f_hz,Q,Re_Zg,Re_Zi
optimistic_cold,40.0,3e-07,1,38.83792468742084,0.09755691924255519,40.178073292182056,22.688192744138682
nominal,150.0,1e-05,1,38.83792468742084,0.8652973476623212,22.663074572615553,3.9161091121401452
optimistic_cold,40.0,3e-07,2,67.26925881914649,0.09678374190293931,79.82083556783198,29.936602587892647
nominal,150.0,3e-06,3,95.13309815282291,0.9490367467202149,48.16208484078906,11.198696338435685
optimistic_cold,40.0,3e-07,3,95.13309815282291,0.08994415407256022,131.33369607958164,35.690129564212654
nominal,150.0,3e-06,2,67.26925881914649,0.878448887673665,35.932751085788176,9.414518326164727
nominal,150.0,3e-06,1,38.83792468742084,0.7713950762241005,22.663074572615553,7.151605160661953
nominal,100.0,1e-06,3,95.13309815282291,0.555636697057411,48.16208484078906,19.43071809615248
nominal,150.0,1e-06,3,95.13309815282291,0.8334550455861166,48.16208484078906,19.43071809615248
optimistic_cold,40.0,1e-06,1,38.83792468742084,0.11665555387679655,40.178073292182056,12.395842264925669
apollo_classic,100.0,1e-06,2,67.26925881914649,0.40172691944840827,49.78001839091829,16.326676556093474
nominal,150.0,1e-06,2,67.26925881914649,0.7622597523828092,35.932751085788176,16.326676556093474
optimistic_cold,120.0,1e-06,2,67.26925881914649,0.33145118365724524,79.82083556783198,16.326676556093474
optimistic_cold,40.0,1e-06,2,67.26925881914649,0.11048372788574842,79.82083556783198,16.326676556093474
nominal,150.0,1e-06,1,38.83792468742084,0.6560070652502716,22.663074572615553,12.395842264925669
optimistic_cold,120.0,1e-06,3,95.13309815282291,0.298932943618571,131.33369607958164,19.43071809615248
optimistic_cold,40.0,1e-06,3,95.13309815282291,0.09964431453952365,131.33369607958164,19.43071809615248
nominal,150.0,3e-07,3,95.13309815282291,0.6718434695237058,48.16208484078906,35.690129564212654
nominal,100.0,3e-06,1,38.83792468742084,0.5142633841494003,22.663074572615553,7.151605160661953
nominal,50.0,0.0001,1,38.83792468742084,0.32074771236522387,22.663074572615553,1.2382620634305879
optimistic_cold,120.0,3e-06,1,38.83792468742084,0.3887437717264569,40.178073292182056,7.151605160661953
optimistic_cold,40.0,3e-06,1,38.83792468742084,0.1295812572421523,40.178073292182056,7.151605160661953
pessimistic_warm,70.0,3e-07,2,67.26925881914649,0.5334274116109359,4.913101114143291,29.936602587892647
apollo_classic,100.0,1e-06,1,38.83792468742084,0.3563246161459085,30.63401703249489,12.395842264925669
nominal,150.0,3e-07,2,67.26925881914649,0.6047616403117201,35.932751085788176,29.936602587892647
optimistic_cold,120.0,3e-06,2,67.26925881914649,0.3571253467211089,79.82083556783198,9.414518326164727
optimistic_cold,40.0,3e-06,2,67.26925881914649,0.11904178224036964,79.82083556783198,9.414518326164727
apollo_classic,100.0,3e-07,3,95.13309815282291,0.3608635029460241,68.38534900905897,35.690129564212654
nominal,150.0,3e-07,1,38.83792468742084,0.5071279923626789,22.663074572615553,22.688192744138682
nominal,50.0,1e-07,3,95.13309815282291,0.16917505357182716,48.16208484078906,62.83844678543254
optimistic_cold,120.0,3e-06,3,95.13309815282291,0.3161979488164724,131.33369607958164,11.198696338435685
apollo_classic,150.0,1e-05,2,67.26925881914649,0.7251434414096982,49.78001839091829,5.154296806813111
apollo_classic,100.0,3e-07,2,67.26925881914649,0.33314054948512717,49.78001839091829,29.936602587892647
nominal,150.0,1e-07,3,95.13309815282291,0.5075251607154815,48.16208484078906,62.83844678543254
optimistic_cold,120.0,1e-05,1,38.83792468742084,0.4172685990103646,40.178073292182056,3.9161091121401452
pessimistic_warm,70.0,3e-07,1,38.83792468742084,0.4066087892299435,3.707741018637186,22.688192744138682
apollo_classic,100.0,3e-07,1,38.83792468742084,0.28754618687398736,30.63401703249489,22.688192744138682
nominal,150.0,1e-07,2,67.26925881914649,0.4506124580831033,35.932751085788176,52.469727938929566
nominal,100.0,3e-06,2,67.26925881914649,0.5856325917824433,35.932751085788176,9.414518326164727
optimistic_cold,120.0,1e-05,2,67.26925881914649,0.37502979764328415,79.82083556783198,5.154296806813111
optimistic_cold,40.0,3e-06,3,95.13309815282291,0.10539931627215747,131.33369607958164,11.198696338435685
pessimistic_warm,70.0,1e-07,3,95.13309815282291,0.3827545016489195,5.847693089752086,62.83844678543254
apollo_classic,100.0,1e-07,3,95.13309815282291,0.2862060310124883,68.38534900905897,62.83844678543254
nominal,150.0,1e-07,1,38.83792468742084,0.36954341419504755,22.663074572615553,39.57290707935288
nominal,50.0,3e-07,1,38.83792468742084,0.16904266412089294,22.663074572615553,22.688192744138682
optimistic_cold,120.0,1e-05,3,95.13309815282291,0.3278571073364304,131.33369607958164,6.130001104309631
optimistic_cold,40.0,1e-05,1,38.83792468742084,0.13908953300345486,40.178073292182056,3.9161091121401452
pessimistic_warm,70.0,1e-07,2,67.26925881914649,0.323960800607993,4.913101114143291,52.469727938929566
apollo_classic,150.0,1e-05,1,38.83792468742084,0.6656675303925057,30.63401703249489,3.9161091121401452
apollo_classic,100.0,1e-07,2,67.26925881914649,0.2597252303229084,49.78001839091829,52.469727938929566
nominal,120.0,0.001,3,95.13309815282291,0.9240086092708035,48.16208484078906,0.6128396245231282
optimistic_cold,120.0,3e-05,1,38.83792468742084,0.43354393304438077,40.178073292182056,2.26080386418569
optimistic_cold,40.0,1e-05,2,67.26925881914649,0.12500993254776138,79.82083556783198,5.154296806813111
pessimistic_warm,70.0,1e-07,1,38.83792468742084,0.24798193048256384,3.707741018637186,39.57290707935288
apollo_classic,150.0,3e-06,3,95.13309815282291,0.7078750823374108,68.38534900905897,11.198696338435685
apollo_classic,100.0,1e-07,1,38.83792468742084,0.21839153745774742,30.63401703249489,39.57290707935288
nominal,120.0,0.001,2,67.26925881914649,0.8743451517645063,35.932751085788176,0.5153342439715299
nominal,100.0,3e-06,3,95.13309815282291,0.6326911644801432,48.16208484078906,11.198696338435685
optimistic_cold,40.0,1e-05,3,95.13309815282291,0.1092857024454768,131.33369607958164,6.130001104309631
pessimistic_warm,60.0,0.001,3,95.13309815282291,3.4879825020387414,5.847693089752086,0.6128396245231282
apollo_classic,150.0,3e-06,2,67.26925881914649,0.6729549817132353,49.78001839091829,9.414518326164727
apollo_classic,80.0,0.001,3,95.13309815282291,0.4354553939748533,68.38534900905897,0.6128396245231282
nominal,120.0,0.001,1,38.83792468742084,0.7980655882765473,22.663074572615553,0.391569038935955
optimistic_cold,40.0,3e-05,1,38.83792468742084,0.1445146443481269,40.178073292182056,2.26080386418569
pessimistic_warm,60.0,0.001,2,67.26925881914649,2.935303139562628,4.913101114143291,0.5153342439715299
apollo_classic,150.0,3e-06,1,38.83792468742084,0.6086679485620317,30.63401703249489,7.151605160661953
apollo_classic,80.0,0.001,2,67.26925881914649,0.4224141997176295,49.78001839091829,0.5153342439715299
