r_m,depth_km,sigma_S_m,eps_r
9.108939999999998836e+05,8.265060000000000855e+02,1.164836578470698899e-03,5.500000000000000000e+00
9.152440315789473243e+05,8.221559684210526484e+02,1.136030315949230433e-03,5.500000000000000000e+00
9.195940631578946486e+05,8.178059368421053250e+02,1.107936428687772033e-03,5.500000000000000000e+00
9.239440947368419729e+05,8.134559052631580016e+02,1.080537299735470072e-03,5.500000000000000000e+00
9.282941263157894136e+05,8.091058736842105645e+02,1.053815747806457212e-03,5.500000000000000000e+00
9.326441578947367379e+05,8.047558421052632411e+02,1.027755016505913811e-03,5.500000000000000000e+00
9.369941894736841787e+05,8.004058105263158041e+02,1.002338763822559426e-03,5.500000000000000000e+00
9.413442210526315030e+05,7.960557789473684807e+02,9.701806232040079961e-04,5.500000000000000000e+00
9.456942526315788273e+05,7.917057473684211573e+02,9.383232796332623138e-04,5.500000000000000000e+00
9.500442842105262680e+05,7.873557157894737202e+02,9.075120199721622375e-04,5.500000000000000000e+00
9.543943157894735923e+05,7.830056842105263968e+02,8.777124944782838415e-04,5.500000000000000000e+00
9.587443473684210330e+05,7.786556526315789597e+02,8.488914813347838264e-04,5.500000000000000000e+00
9.630943789473683573e+05,7.743056210526316363e+02,8.210168496132689946e-04,5.500000000000000000e+00
9.674444105263156816e+05,7.699555894736843129e+02,7.940575234528234353e-04,5.500000000000000000e+00
9.717944421052631224e+05,7.656055578947368758e+02,7.679834474152798154e-04,5.500000000000000000e+00
9.761444736842104467e+05,7.612555263157895524e+02,7.427655529781017254e-04,5.500000000000000000e+00
9.804945052631578874e+05,7.569054947368421153e+02,7.183757261275161262e-04,5.500000000000000000e+00
9.848445368421052117e+05,7.525554631578947919e+02,6.947867760157843721e-04,5.500000000000000000e+00
9.891945684210525360e+05,7.482054315789474686e+02,6.719724046476486775e-04,5.500000000000000000e+00
9.935445999999999767e+05,7.438554000000000315e+02,6.499071775621768996e-04,5.500000000000000000e+00
9.978946315789473010e+05,7.395053684210527081e+02,6.285664954773129316e-04,5.500000000000000000e+00
1.002244663157894742e+06,7.351553368421052710e+02,6.079265668655144421e-04,5.500000000000000000e+00
1.006594694736842066e+06,7.308053052631579476e+02,5.879643814299203739e-04,5.500000000000000000e+00
1.010944726315789390e+06,7.264552736842106242e+02,5.686576844514591332e-04,5.500000000000000000e+00
1.015294757894736831e+06,7.221052421052631871e+02,5.499849519783163790e-04,5.500000000000000000e+00
