r_m,depth_km,sigma_S_m,eps_r
1.734229682364291977e+06,3.170317635708022941e+00,5.130211960124037732e-08,5.000000000000000000e+00
1.734319658704595873e+06,3.080341295404126711e+00,5.126470090205409633e-08,5.000000000000000000e+00
1.734407081439001486e+06,2.992918560998514277e+00,5.122837031944247443e-08,5.000000000000000000e+00
1.734492023041039705e+06,2.907976958960294844e+00,5.119309549143446159e-08,5.000000000000000000e+00
1.734574553927380126e+06,2.825446072619874016e+00,5.115884505880999575e-08,5.000000000000000000e+00
1.734654742516207043e+06,2.745257483792956865e+00,5.112558863180201932e-08,5.000000000000000000e+00
1.734732655283937929e+06,2.667344716062070908e+00,5.109329675802562802e-08,5.000000000000000000e+00
1.734808356820332119e+06,2.591643179667880936e+00,5.106194089158043320e-08,5.000000000000000000e+00
1.734881909882036271e+06,2.518090117963729391e+00,5.103149336328049699e-08,5.000000000000000000e+00
1.734953375444608973e+06,2.446624555391026856e+00,5.100192735196122359e-08,5.000000000000000000e+00
1.735022812753070612e+06,2.377187246929388653e+00,5.097321685682228431e-08,5.000000000000000000e+00
1.735090279371016659e+06,2.309720628983340962e+00,5.094533667076313288e-08,5.000000000000000000e+00
1.735155831228338415e+06,2.244168771661585016e+00,5.091826235466944761e-08,5.000000000000000000e+00
1.735219522667588899e+06,2.180477332411101088e+00,5.089197021261394563e-08,5.000000000000000000e+00
1.735281406489031855e+06,2.118593510968144855e+00,5.086643726793467684e-08,5.000000000000000000e+00
1.735341533994415542e+06,2.058466005584457914e+00,5.084164124015395191e-08,5.000000000000000000e+00
1.735399955029499484e+06,2.000044970500515884e+00,5.081756052270638511e-08,5.000000000000000000e+00
1.735456718025377952e+06,1.943281974622048436e+00,5.079417416144469875e-08,5.000000000000000000e+00
1.735511870038629277e+06,1.888129961370723420e+00,5.077146183388897108e-08,5.000000000000000000e+00
1.735565456790325465e+06,1.834543209674535325e+00,5.074940382919626585e-08,5.000000000000000000e+00
1.735617522703935159e+06,1.782477296064840733e+00,5.072798102881715928e-08,5.000000000000000000e+00
1.735668110942150932e+06,1.731889057849068214e+00,5.070717488781604303e-08,5.000000000000000000e+00
1.735717263442670926e+06,1.682736557329073568e+00,5.068696741682801221e-08,5.000000000000000000e+00
1.735765020952965599e+06,1.634979047034401445e+00,5.066734116462972648e-08,5.000000000000000000e+00
1.735811423064056551e+06,1.588576935943448953e+00,5.064827920129999139e-08,5.000000000000000000e+00
1.735856508243338903e+06,1.543491756661096614e+00,5.062976510194605849e-08,5.000000000000000000e+00
1.735900313866469311e+06,1.499686133530689469e+00,5.061178293097933880e-08,5.000000000000000000e+00
