r_m,depth_km,sigma_S_m,eps_r
6.360342591062700376e+06,1.065740893729962480e+01,1.016961574884377986e-03,1.000000000000000000e+01
6.360886615090951324e+06,1.011338490904867626e+01,1.002905082724161838e-03,1.000000000000000000e+01
6.361402868565867655e+06,9.597131434132345262e+00,1.097202672057165374e-03,1.000000000000000000e+01
6.361892769078568555e+06,9.107230921431444415e+00,1.228222100757126551e-03,1.000000000000000000e+01
6.362357661857033148e+06,8.642338142966851322e+00,1.366992669606963660e-03,1.000000000000000000e+01
6.362798823459981009e+06,8.201176540018989769e+00,1.513151267590526899e-03,1.000000000000000000e+01
6.363217465282205492e+06,7.782534717794507451e+00,1.666274423726649611e-03,1.000000000000000000e+01
6.363614736880967394e+06,7.385263119032606127e+00,1.825886123689611160e-03,1.000000000000000000e+01
6.363991729132588021e+06,7.008270867411978244e+00,1.991466078387823472e-03,1.000000000000000000e+01
6.364349477227907628e+06,6.650522772092371859e+00,2.162458207077727276e-03,1.000000000000000000e+01
6.364688963514841162e+06,6.311036485158838083e+00,2.338279119471759274e-03,1.000000000000000000e+01
6.365011120195821859e+06,5.988879804178140809e+00,2.518326407558725468e-03,1.000000000000000000e+01
6.365316831887561828e+06,5.683168112438171882e+00,2.701986586732779087e-03,1.000000000000000000e+01
6.365606938050133176e+06,5.393061949866823745e+00,2.888642555669670726e-03,1.000000000000000000e+01
6.365882235292064957e+06,5.117764707935042345e+00,3.077680473964171468e-03,1.000000000000000000e+01
6.366143479557761922e+06,4.856520442238077884e+00,3.268495984688047414e-03,1.000000000000000000e+01
6.366391388203269802e+06,4.608611796730198051e+00,3.460499735062465883e-03,1.000000000000000000e+01
6.366626641966079362e+06,4.373358033920638377e+00,3.653122171724717746e-03,1.000000000000000000e+01
6.366849886834377423e+06,4.150113165622577149e+00,3.845817607341858735e-03,1.000000000000000000e+01
6.367061735820875503e+06,3.938264179124496778e+00,4.038067572420834042e-03,1.000000000000000000e+01
6.367262770646099001e+06,3.737229353900998863e+00,4.229383480118843741e-03,1.000000000000000000e+01
6.367453543335743248e+06,3.546456664256751434e+00,4.419308642747205550e-03,1.000000000000000000e+01
6.367634577736493200e+06,3.365422263506800071e+00,4.607419686787398404e-03,1.000000000000000000e+01
6.367806370954462327e+06,3.193629045537672795e+00,4.793327418787717183e-03,1.000000000000000000e+01
6.367969394720212556e+06,3.030605279787443429e+00,4.976677197863328683e-03,1.000000000000000000e+01
6.368124096684080549e+06,2.875903315919451586e+00,5.157148871910202312e-03,1.000000000000000000e+01
6.368270901645398699e+06,2.729098354601301235e+00,5.334456334536746835e-03,1.000000000000000000e+01
6.368410212718953378e+06,2.589787281046621370e+00,5.508346758193880845e-03,1.000000000000000000e+01
6.368542412441910245e+06,2.457587558089755486e+00,5.678599556595760253e-03,1.000000000000000000e+01
6.368667863824229687e+06,2.332136175770312736e+00,5.845025126270715458e-03,1.000000000000000000e+01
6.368786911345465109e+06,2.213088654534891120e+00,6.007463413384678264e-03,1.000000000000000000e+01
6.368899881900671870e+06,2.100118099328130317e+00,6.165782347902004808e-03,1.000000000000000000e+01
6.369007085698042065e+06,1.992914301957935175e+00,6.319876182964374867e-03,1.000000000000000000e+01
6.369108817110704258e+06,1.891182889295741854e+00,6.469663773055761395e-03,1.000000000000000000e+01
6.369205355485054664e+06,1.794644514945335612e+00,6.615086820416988742e-03,1.000000000000000000e+01
6.369296965907817706e+06,1.703034092182293513e+00,6.756108115082838476e-03,1.000000000000000000e+01
6.369383899933951907e+06,1.616100066048093087e+00,6.892709790155402381e-03,1.000000000000000000e+01
6.369466396277402528e+06,1.533603722597472352e+00,7.024891610375484652e-03,1.000000000000000000e+01
6.369544681466590613e+06,1.455318533409386772e+00,7.152669308783258899e-03,1.000000000000000000e+01
6.369618970466439612e+06,1.381029533560387712e+00,7.276072983317976271e-03,1.000000000000000000e+01
6.369689467268655077e+06,1.310532731344923318e+00,7.395145562569538367e-03,1.000000000000000000e+01
6.369756365451867692e+06,1.243634548132307893e+00,7.509941347518196524e-03,1.000000000000000000e+01
6.369819848713186570e+06,1.180151286813430511e+00,7.620524634074547256e-03,1.000000000000000000e+01
6.369880091372614726e+06,1.119908627385273636e+00,7.726968419423959830e-03,1.000000000000000000e+01
6.369937258851720951e+06,1.062741148279048531e+00,7.829353193685304607e-03,1.000000000000000000e+01
6.369991508127870038e+06,1.008491872129961830e+00,7.927765817070850027e-03,1.000000000000000000e+01
6.370042988165275194e+06,9.570118347248062207e-01,8.022298481715720020e-03,1.000000000000000000e+01
6.370091840324038640e+06,9.081596759613603798e-01,8.113047756409849653e-03,1.000000000000000000e+01
6.370138198748315684e+06,8.618012516843155391e-01,8.200113711817339640e-03,1.000000000000000000e+01
6.370182190734665841e+06,8.178092653341590967e-01,8.283599123194807651e-03,1.000000000000000000e+01
6.370223937081594951e+06,7.760629184050485962e-01,8.363608747196261267e-03,1.000000000000000000e+01
6.370263552421264350e+06,7.364475787356495884e-01,8.440248669098966358e-03,1.000000000000000000e+01
6.370301145534256473e+06,6.988544657435268315e-01,8.513625716514778424e-03,1.000000000000000000e+01
6.370336819648278877e+06,6.631803517211228849e-01,8.583846935611500611e-03,1.000000000000000000e+01
6.370370672721622512e+06,6.293272783774882528e-01,8.651019125783062161e-03,1.000000000000000000e+01
6.370402797712141648e+06,5.972022878583520544e-01,8.715248428708369244e-03,1.000000000000000000e+01
6.370433282832514495e+06,5.667171674855053798e-01,8.776639967862105707e-03,1.000000000000000000e+01
6.370462211792466231e+06,5.377882075337693246e-01,8.835297534562570193e-03,1.000000000000000000e+01
6.370489664028626867e+06,5.103359713731333569e-01,8.891323316822628484e-03,1.000000000000000000e+01
6.370515714922661893e+06,4.842850773381069396e-01,8.944817667421512894e-03,1.000000000000000000e+01
6.370540436008259654e+06,4.595639917403459562e-01,8.995878907738520322e-03,1.000000000000000000e+01
6.370563895167564042e+06,4.361048324359581008e-01,9.044603164140832888e-03,1.000000000000000000e+01
6.370586156817564741e+06,4.138431824352592492e-01,9.091084233805842019e-03,1.000000000000000000e+01
6.370607282086989842e+06,3.927179130101576265e-01,9.135413477171767591e-03,1.000000000000000000e+01
6.370627328984154388e+06,3.726710158456116861e-01,9.177679734264008321e-03,1.000000000000000000e+01
6.370646352556248195e+06,3.536474437518045133e-01,9.217969262444910758e-03,1.000000000000000000e+01
6.370664405040492304e+06,3.355949595076963554e-01,9.256365693253660112e-03,1.000000000000000000e+01
6.370681536007579416e+06,3.184639924205839856e-01,9.292950006197120416e-03,1.000000000000000000e+01
6.370697792497784831e+06,3.022075022151693435e-01,9.327800517505736855e-03,1.000000000000000000e+01
6.370713219150143676e+06,2.867808498563245156e-01,9.360992882094000545e-03,1.000000000000000000e+01
6.370727858325020410e+06,2.721416749795898538e-01,9.392600107010259242e-03,1.000000000000000000e+01
6.370741750220428221e+06,2.582497795717790812e-01,9.422692574912733612e-03,1.000000000000000000e+01
6.370754932982412167e+06,2.450670175878331136e-01,9.451338076188352602e-03,1.000000000000000000e+01
6.370767442809789442e+06,2.325571902105584843e-01,9.478601848449775408e-03,1.000000000000000000e+01
6.370779314053555951e+06,2.206859464440494856e-01,9.504546622333282999e-03,1.000000000000000000e+01
6.370790579311206937e+06,2.094206887930631644e-01,9.529232672529339837e-03,1.000000000000000000e+01
6.370801269516244531e+06,1.987304837554693115e-01,9.552717873165349552e-03,1.000000000000000000e+01
6.370811414023126476e+06,1.885859768735244912e-01,9.575057756743356879e-03,1.000000000000000000e+01
6.370821040687864646e+06,1.789593121353536820e-01,9.596305575849990374e-03,1.000000000000000000e+01
6.370830175944515504e+06,1.698240554844960559e-01,9.616512367035843362e-03,1.000000000000000000e+01
6.370838844877772033e+06,1.611551222279667961e-01,9.635727016287915642e-03,1.000000000000000000e+01
6.370847071291835979e+06,1.529287081640213763e-01,9.653996325541692319e-03,1.000000000000000000e+01
6.370854877775789239e+06,1.451222242107614857e-01,9.671365079851054064e-03,1.000000000000000000e+01
6.370862285765617155e+06,1.377142343828454685e-01,9.687876114765037530e-03,1.000000000000000000e+01
6.370869315603073686e+06,1.306843969263136451e-01,9.703570383613321568e-03,1.000000000000000000e+01
6.370875986591534689e+06,1.240134084653109342e-01,9.718487024369920624e-03,1.000000000000000000e+01
6.370882317049006000e+06,1.176829509939998353e-01,9.732663425869592100e-03,1.000000000000000000e+01
6.370888324358421378e+06,1.116756415786221562e-01,9.746135293135170172e-03,1.000000000000000000e+01
6.370894025015377440e+06,1.059749846225604419e-01,9.758936711650807033e-03,1.000000000000000000e+01
